	id	state	COUNTY	GEO_TTL	relevant_naics	NAICS2012_TTL	NAICS_Sector	estab	emp	payann	estimate
658	13013	13	13	Barrow County, Georgia	4841	General freight trucking	48	10.4	122.0	4278.0	
659	13013	13	13	Barrow County, Georgia	4842	Specialized freight trucking	48	9.8	37.6	2514.4	
666	13013	13	13	Barrow County, Georgia	4931	Warehousing and storage	49	3.6	171.2	4497.8	
675	13013	13	13	Barrow County, Georgia	5182	Data processing, hosting, and related services	51	2.4	0.6	133.2	
677	13013	13	13	Barrow County, Georgia	5221	Depository credit intermediation	52	18.2	55.4	6117.4	
678	13013	13	13	Barrow County, Georgia	5222	Nondepository credit intermediation	52	18.0	43.0	3598.2	
679	13013	13	13	Barrow County, Georgia	5223	Activities related to credit intermediation	52	2.2	0.0	64.0	
681	13013	13	13	Barrow County, Georgia	5239	Other financial investment activities	52	2.8	1.8	30.8	
683	13013	13	13	Barrow County, Georgia	5242	Agencies, brokerages, and other insurance related activities	52	13.2	48.2	2031.0	
684	13013	13	13	Barrow County, Georgia	5311	Lessors of real estate	53	8.4	19.6	518.6	
685	13013	13	13	Barrow County, Georgia	5312	Offices of real estate agents and brokers	53	15.4	11.6	750.2	
686	13013	13	13	Barrow County, Georgia	5313	Activities related to real estate	53	10.8	8.8	304.2	
688	13013	13	13	Barrow County, Georgia	5322	Consumer goods rental	53	2.6	4.8	82.4	
691	13013	13	13	Barrow County, Georgia	5411	Legal services	54	16.2	51.8	1970.4	
692	13013	13	13	Barrow County, Georgia	5412	Accounting, tax preparation, bookkeeping, and payroll services	54	19.4	125.8	4396.6	
693	13013	13	13	Barrow County, Georgia	5413	Architectural, engineering, and related services	54	19.4	41.2	2476.4	
694	13013	13	13	Barrow County, Georgia	5414	Specialized design services	54	2.2	0.8	45.8	
695	13013	13	13	Barrow County, Georgia	5415	Computer systems design and related services	54	12.2	24.4	2068.8	
696	13013	13	13	Barrow County, Georgia	5416	Management, scientific, and technical consulting services	54	18.8	448.8	11991.2	
699	13013	13	13	Barrow County, Georgia	5419	Other professional, scientific, and technical services	54	14.0	122.0	3411.6	
700	13013	13	13	Barrow County, Georgia	5511	Management of companies and enterprises	55	3.0	22.0	657.8	
701	13013	13	13	Barrow County, Georgia	5611	Office administrative services	56	3.4	11.0	380.6	
703	13013	13	13	Barrow County, Georgia	5614	Business support services	56	5.0	6.6	557.8	
705	13013	13	13	Barrow County, Georgia	5616	Investigation and security services	56	7.8	12.4	728.6	
706	13013	13	13	Barrow County, Georgia	5617	Services to buildings and dwellings	56	38.4	151.8	3169.6	
713	13013	13	13	Barrow County, Georgia	6115	Technical and trade schools	61	2.8	4.8	129.0	
714	13013	13	13	Barrow County, Georgia	6116	Other schools and instruction	61	3.2	2.4	45.8	
716	13013	13	13	Barrow County, Georgia	6211	Offices of physicians	62	29.4	81.6	5236.2	
717	13013	13	13	Barrow County, Georgia	6212	Offices of dentists	62	14.4	90.0	4203.6	
718	13013	13	13	Barrow County, Georgia	6213	Offices of other health practitioners	62	16.4	49.6	1921.8	
719	13013	13	13	Barrow County, Georgia	6214	Outpatient care centers	62	3.4	10.6	473.6	
721	13013	13	13	Barrow County, Georgia	6216	Home health care services	62	3.4	0.0	1112.2	
725	13013	13	13	Barrow County, Georgia	6232	Residential intellectual and developmental disability, mental health, and substance abuse facilities	62	3.0	6.4	176.2	
726	13013	13	13	Barrow County, Georgia	6233	Continuing care retirement communities and assisted living facilities for the elderly	62	4.0	45.4	841.6	
727	13013	13	13	Barrow County, Georgia	6241	Individual and family services	62	5.4	30.2	1086.8	
729	13013	13	13	Barrow County, Georgia	6244	Child day care services	62	9.8	149.0	2303.4	
734	13013	13	13	Barrow County, Georgia	7139	Other amusement and recreation industries	71	9.2	301.6	4067.6	
736	13013	13	13	Barrow County, Georgia	7223	Special food services	72	3.4	12.8	302.6	
